Macroporosity,Vugs,Count,Sample,Grid,R,P_Area_100,WAv_Lx,Alignment,Alignment2,Eccent,keq_simulation,WAv_ly,Lx_norm,Ly_norm,Perimeter,EquivDiameter,Major,Minor,DifMajorMinor,Av_Area,Std_area,var_Area,Std_Lx,var_Lx
0.05,87,79,aleatory,grid-10,r1,0.0482957,2.05543,0.507123,0.0625792,0.22716,1.1058,2.08207,0.0205543,0.0416413,0.0465461,84.6677,90.4408,80.9297,9.51115,0.0611338,1392.95,1.94032e+06,0.00273193,7.46343e-06
0.05,87,76,aleatory,grid-15,r1,0.0485664,2.0889,0.536482,0.0709587,0.254453,1.1093,2.18558,0.020889,0.0437116,0.0501134,88.1954,96.8697,83.593,13.2768,0.0639032,2013.84,4.05554e+06,0.00341098,1.16348e-05
0.05,87,75,aleatory,grid-19,r1,0.0493086,2.24341,0.54415,0.100458,0.304507,1.11077,2.2837,0.0224341,0.0456741,0.0560402,90.8917,109.614,83.9987,25.6157,0.0657448,2501.68,6.2584e+06,0.0057244,3.27687e-05
0.05,87,87,aleatory,grid-20,r1,0.0492426,1.91984,0.578895,0.01,0.122721,1.10985,1.91547,0.0191984,0.0383094,0.0426372,79.7267,80.0807,79.439,0.641687,0.0566007,22.3589,499.919,0.000249227,6.21143e-08
0.05,87,87,aleatory,grid-30,r1,0.0491599,1.91846,0.57687,0.01,0.119226,1.10619,1.91053,0.0191846,0.0382105,0.0425918,79.6594,80.0031,79.3818,0.621349,0.0565056,16.7541,280.701,0.000225679,5.0931e-08
0.06,105,97,aleatory,grid-10,r1,0.0579381,2.04,0.52455,0.0718079,0.196188,1.13033,2.00463,0.0204,0.0400925,0.0452777,83.3147,87.8825,80.3039,7.57861,0.05973,1219.4,1.48694e+06,0.00284593,8.09934e-06
0.06,105,97,aleatory,grid-15,r1,0.0589857,1.93701,0.445957,0.018367,0.222383,1.12845,2.09866,0.0193701,0.0419731,0.0462992,84.1086,90.7412,79.7875,10.9537,0.06081,1232.17,1.51825e+06,0.00155471,2.41714e-06
0.06,105,92,aleatory,grid-19,r1,0.0594677,2.32808,0.597665,0.148445,0.29336,1.14519,2.07416,0.0232808,0.0414832,0.0537814,89.2307,107.589,80.9418,26.6469,0.0646388,2189.66,4.79461e+06,0.00691882,4.787e-05
0.06,105,105,aleatory,grid-20,r1,0.0594391,1.92248,0.580481,0.01,0.125496,1.13896,1.91181,0.0192248,0.0382362,0.0426911,79.7322,80.1038,79.4267,0.677061,0.0566087,21.2672,452.295,0.000235861,5.56303e-08
0.06,105,105,aleatory,grid-30,r1,0.0593313,1.91929,0.574806,0.01,0.115849,1.12888,1.91362,0.0191929,0.0382724,0.0425638,79.6597,79.9866,79.399,0.587599,0.056506,18.6534,347.951,0.000239226,5.72292e-08
0.08,140,128,aleatory,grid-10,r1,0.0770307,2.03947,0.555415,0.0667412,0.200917,1.17942,2.01672,0.0203947,0.0403344,0.0455129,83.6887,87.9753,80.7852,7.19017,0.0601803,1241.12,1.54038e+06,0.00276194,7.62829e-06
0.08,140,121,aleatory,grid-15,r1,0.0780971,2.18525,0.549816,0.140916,0.29246,1.1879,2.10311,0.0218525,0.0420623,0.0503237,88.4968,100.147,81.8213,18.326,0.064543,1988.89,3.95569e+06,0.00478481,2.28944e-05
0.08,140,120,aleatory,grid-19,r1,0.0793329,2.22816,0.565527,0.132821,0.317434,1.19123,2.22313,0.0222816,0.0444626,0.0545976,90.2254,107.453,82.8904,24.5627,0.0661107,2207.24,4.8719e+06,0.00527795,2.78568e-05
0.08,140,140,aleatory,grid-20,r1,0.0792104,1.91856,0.601537,0.01,0.121645,1.18342,1.91364,0.0191856,0.0382728,0.0426506,79.7112,80.0639,79.4249,0.638991,0.0565789,21.656,468.984,0.000228601,5.22585e-08
0.08,140,140,aleatory,grid-30,r1,0.0790893,1.91669,0.555248,0.01,0.11852,1.17572,1.91294,0.0191669,0.0382587,0.0425638,79.6502,79.9885,79.3769,0.611562,0.0564924,18.9336,358.48,0.000234644,5.5058e-08
0.1,175,153,aleatory,grid-10,r1,0.0959147,2.12267,0.543814,0.116388,0.265161,1.22245,2.10543,0.0212267,0.0421087,0.047453,86.05,94.401,80.4861,13.9149,0.0626894,1526.16,2.32917e+06,0.00346083,1.19774e-05
0.1,175,153,aleatory,grid-15,r1,0.0977746,2.12011,0.545643,0.0856512,0.264955,1.2353,2.1857,0.0212011,0.043714,0.0506485,88.5113,98.5576,83.2503,15.3072,0.063905,2128.33,4.52977e+06,0.00396696,1.57368e-05
0.1,175,140,aleatory,grid-19,r1,0.0992981,2.28517,0.504923,0.160549,0.395967,1.24258,2.41512,0.0228517,0.0483023,0.0592301,94.3786,119.633,83.1694,36.464,0.0709272,2581.32,6.6632e+06,0.00589202,3.4716e-05
0.1,175,175,aleatory,grid-20,r1,0.0990565,1.92124,0.574229,0.01,0.121842,1.24436,1.91689,0.0192124,0.0383378,0.042641,79.7286,80.0836,79.4396,0.644014,0.0566037,20.0971,403.892,0.000240368,5.77766e-08
0.1,175,175,aleatory,grid-30,r1,0.0988374,1.91729,0.560417,0.01,0.122911,1.22939,1.90738,0.0191729,0.0381476,0.0425433,79.6404,79.9999,79.3457,0.654139,0.0564785,18.441,340.07,0.000245926,6.04798e-08
0.12,210,177,aleatory,grid-10,r1,0.114866,2.1921,0.523676,0.109519,0.286391,1.2833,2.21682,0.021921,0.0443363,0.0500841,88.9059,98.9901,82.7693,16.2208,0.0648963,2038.84,4.15689e+06,0.00395448,1.56379e-05
0.12,210,182,aleatory,grid-15,r1,0.117264,2.11646,0.56968,0.122934,0.294181,1.29418,2.12658,0.0211646,0.0425317,0.0496482,87.9216,99.2224,81.0038,18.2186,0.0644307,1799.13,3.23688e+06,0.00405594,1.64507e-05
0.12,210,146,aleatory,grid-19,r1,0.119331,2.81115,0.527213,0.250856,0.482619,1.33375,2.73127,0.0281115,0.0546253,0.0768259,107.019,143.768,94.7558,49.0127,0.0817338,4365.82,1.90604e+07,0.00933545,8.71506e-05
0.12,210,210,aleatory,grid-20,r1,0.118923,1.92021,0.555304,0.01,0.11926,1.30069,1.91728,0.0192021,0.0383457,0.0426914,79.7471,80.0894,79.4714,0.617995,0.0566298,20.9599,439.319,0.000230527,5.31425e-08
0.12,210,210,aleatory,grid-30,r1,0.118624,1.91736,0.558609,0.01,0.114206,1.28167,1.90932,0.0191736,0.0381863,0.0425554,79.6468,79.9628,79.3968,0.565995,0.0564877,17.3343,300.478,0.000234264,5.48798e-08
0.14,245,190,aleatory,grid-10,r1,0.131438,2.40937,0.550529,0.173915,0.355838,1.37249,2.34014,0.0240937,0.0468028,0.055302,94.3934,110.683,85.3246,25.3584,0.0691779,2943.43,8.6638e+06,0.00595435,3.54543e-05
0.14,245,197,aleatory,grid-15,r1,0.135762,2.26944,0.54743,0.181951,0.37126,1.35972,2.21069,0.0226944,0.0442139,0.0533984,92.2002,108.668,82.391,26.277,0.0689147,2296.54,5.27411e+06,0.00568741,3.23467e-05
0.14,245,172,aleatory,grid-19,r1,0.139137,2.97313,0.523826,0.233548,0.427845,1.40316,2.96795,0.0297313,0.0593591,0.0864935,111.186,154.514,102.168,52.3455,0.0808935,5329.88,2.84076e+07,0.010125,0.000102515
